epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,18052.9,0.63161,0.46975,0.95791,0.87153,0.88361,0.8902,0.73468,0.57998,0.58264,0.94712,0.000250075,0.000250075,0.000250075
127,18197.2,0.64065,0.45606,0.95688,0.88738,0.89284,0.88917,0.74988,0.54671,0.55647,0.93373,0.000240644,0.000240644,0.000240644
128,18341.8,0.64804,0.44162,0.95888,0.85432,0.8863,0.88088,0.74201,0.56133,0.58816,0.94505,0.000231212,0.000231212,0.000231212
129,18486.6,0.62713,0.4594,0.96055,0.85751,0.86991,0.88374,0.74516,0.55145,0.57493,0.93651,0.000221781,0.000221781,0.000221781
130,18631.2,0.6186,0.44927,0.94796,0.86259,0.87436,0.8783,0.7432,0.52938,0.56216,0.93031,0.000212349,0.000212349,0.000212349
131,18775.5,0.58208,0.4931,0.9384,0.86175,0.86274,0.87584,0.74098,0.54819,0.55893,0.93637,0.000202918,0.000202918,0.000202918
132,18919.9,0.60292,0.41837,0.94734,0.88941,0.85055,0.88037,0.74358,0.54331,0.57132,0.93456,0.000193487,0.000193487,0.000193487
133,19064.3,0.62801,0.46763,0.96484,0.89952,0.83241,0.88075,0.73637,0.58663,0.57432,0.9651,0.000184055,0.000184055,0.000184055
134,19208.7,0.60779,0.4468,0.95095,0.88961,0.86455,0.88066,0.74233,0.55054,0.54849,0.94624,0.000174624,0.000174624,0.000174624
135,19353.1,0.603,0.43702,0.94997,0.87263,0.84728,0.87036,0.731,0.55803,0.57056,0.94626,0.000165192,0.000165192,0.000165192
136,19497.3,0.57465,0.431,0.94044,0.86153,0.85375,0.86873,0.73527,0.54352,0.55051,0.93672,0.000155761,0.000155761,0.000155761
137,19641.4,0.58228,0.4413,0.9391,0.88746,0.86802,0.8828,0.74153,0.55528,0.52622,0.95107,0.00014633,0.00014633,0.00014633
138,19785.9,0.60289,0.4338,0.93531,0.88794,0.86596,0.88899,0.74936,0.55521,0.53909,0.95515,0.000136898,0.000136898,0.000136898
139,19930.4,0.59611,0.43462,0.94291,0.89675,0.85396,0.88908,0.74183,0.55415,0.52591,0.95972,0.000127467,0.000127467,0.000127467
140,20074.6,0.57898,0.42035,0.93869,0.88164,0.84506,0.88709,0.73176,0.56704,0.52805,0.96272,0.000118035,0.000118035,0.000118035
141,20217.3,0.54287,0.34489,0.90624,0.89879,0.83625,0.87778,0.725,0.5441,0.55586,0.95099,0.000108604,0.000108604,0.000108604
142,20359.8,0.53228,0.35632,0.89525,0.89014,0.83727,0.86619,0.71426,0.55203,0.58501,0.94999,9.91726e-05,9.91726e-05,9.91726e-05
143,20502.5,0.51857,0.32094,0.89356,0.89152,0.83388,0.87662,0.73328,0.54344,0.57283,0.94159,8.97412e-05,8.97412e-05,8.97412e-05
144,20645.2,0.52511,0.31546,0.90164,0.88686,0.83553,0.87647,0.72661,0.55367,0.57064,0.94864,8.03098e-05,8.03098e-05,8.03098e-05
145,20787.9,0.52898,0.33582,0.89932,0.90233,0.84277,0.87799,0.72859,0.55461,0.57135,0.9442,7.08784e-05,7.08784e-05,7.08784e-05
146,20930.6,0.50052,0.31853,0.89194,0.89849,0.85475,0.87903,0.73065,0.55629,0.58079,0.94412,6.1447e-05,6.1447e-05,6.1447e-05
147,21073.3,0.50436,0.30655,0.88906,0.89738,0.85383,0.87956,0.73617,0.54875,0.58712,0.93515,5.20156e-05,5.20156e-05,5.20156e-05
148,21215.7,0.51152,0.30741,0.89348,0.90522,0.84474,0.87616,0.73338,0.54468,0.58262,0.93322,4.25842e-05,4.25842e-05,4.25842e-05
149,21358.3,0.5209,0.30714,0.90261,0.90685,0.84286,0.875,0.72999,0.5501,0.58771,0.93603,3.31528e-05,3.31528e-05,3.31528e-05
150,21500.7,0.51406,0.32134,0.89066,0.89794,0.84191,0.87804,0.73066,0.54953,0.5812,0.93483,2.37214e-05,2.37214e-05,2.37214e-05
